Date,Close
1/2/2018,64.31
1/3/2018,65.31
1/4/2018,64.66
1/5/2018,66.37
1/8/2018,66.63
1/9/2018,66.19
1/10/2018,66.83
1/11/2018,69.24
1/12/2018,70.36
1/16/2018,68.71
1/17/2018,70.36
1/18/2018,69.8
1/19/2018,70.57
1/22/2018,71.3
1/23/2018,71.55
1/24/2018,70.08
1/25/2018,70.82
1/26/2018,72.52
1/29/2018,72.45
1/30/2018,71.61
1/31/2018,74.13
2/1/2018,73.35
2/2/2018,71.42
2/5/2018,67.98
2/6/2018,69.7
2/7/2018,69.46
2/8/2018,65.83
2/9/2018,67.08
2/12/2018,68.32
2/13/2018,68.03
2/14/2018,69.65
2/15/2018,71.99
2/16/2018,70.19
2/20/2018,70.84
2/21/2018,70.22
2/22/2018,69.49
2/23/2018,72.07
2/26/2018,73.16
2/27/2018,72.61
2/28/2018,73.13
3/1/2018,72.01
3/2/2018,74.01
3/5/2018,75.1
3/6/2018,73.92
3/7/2018,74.07
3/8/2018,76.81
3/9/2018,78.22
3/12/2018,76.86
3/13/2018,75.93
3/14/2018,74.22
3/15/2018,73.38
3/16/2018,71.68
3/19/2018,71.05
3/20/2018,71.37
3/21/2018,71.61
3/22/2018,69.76
3/23/2018,68.04
3/26/2018,70.08
3/27/2018,66.29
3/28/2018,65.97
3/29/2018,67.46
4/2/2018,65.09
4/3/2018,65.48
4/4/2018,66.27
4/5/2018,66.53
4/6/2018,64.56
4/9/2018,65.77
4/10/2018,66.52
4/11/2018,65.85
4/12/2018,67.22
4/13/2018,65.88
4/16/2018,66.56
4/17/2018,68.28
4/18/2018,68.69
4/19/2018,67.68
4/20/2018,66.3
4/23/2018,66.23
4/24/2018,65.34
4/25/2018,64.82
4/26/2018,66.34
4/27/2018,65.79
4/30/2018,66.35
5/1/2018,67.8
5/2/2018,68.39
5/3/2018,66.82
5/4/2018,69.84
5/7/2018,70.37
5/8/2018,69.61
5/9/2018,71.31
5/10/2018,72.9
5/11/2018,71.7
5/14/2018,71.7
5/15/2018,70.17
5/16/2018,70.33
5/17/2018,71.66
5/18/2018,71.99
5/21/2018,71.45
5/22/2018,71.35
5/23/2018,71.74
5/24/2018,70.8
5/25/2018,71.46
5/29/2018,70.64
5/30/2018,70.69
5/31/2018,70.91
6/1/2018,73.03
6/4/2018,72.79
6/5/2018,72.77
6/6/2018,74.79
6/7/2018,73.95
6/8/2018,74.29
6/11/2018,75
6/12/2018,75.94
6/13/2018,76.67
6/14/2018,77.71
6/15/2018,77.41
6/18/2018,77.87
6/19/2018,77.24
6/20/2018,76.84
6/21/2018,76.05
6/22/2018,75.98
6/25/2018,74.7
6/26/2018,75.27
6/27/2018,73.42
6/28/2018,76.01
6/29/2018,76.32
7/2/2018,77.28
7/3/2018,75.88
7/5/2018,76.19
7/6/2018,77.19
7/9/2018,76.84
7/10/2018,76.19
7/11/2018,78.61
7/12/2018,81.37
7/13/2018,81.5
7/16/2018,80.23
7/17/2018,80.95
7/18/2018,81.27
7/19/2018,80.61
7/20/2018,79.65
7/23/2018,79.75
7/24/2018,78.41
7/25/2018,79.45
7/26/2018,77.65
7/27/2018,75.36
7/30/2018,72.75
7/31/2018,73.42
8/1/2018,73.08
8/2/2018,74.06
8/3/2018,71.32
8/6/2018,70.57
8/7/2018,70.23
8/8/2018,70.01
8/9/2018,70.5
8/10/2018,70.61
8/13/2018,70.52
8/14/2018,71.29
8/15/2018,69.31
8/16/2018,69.69
8/17/2018,69.15
8/20/2018,68.93
8/21/2018,69.66
8/22/2018,71.43
8/23/2018,71.17
8/24/2018,74.09
8/27/2018,74.09
8/28/2018,74
8/29/2018,74.91
8/30/2018,74.1
8/31/2018,72.1
9/4/2018,72.98
9/5/2018,71.65
9/6/2018,71.96
9/7/2018,73.57
9/10/2018,74.26
9/11/2018,79.5
9/12/2018,80.52
9/13/2018,80.43
9/14/2018,81.27
9/17/2018,78.88
9/18/2018,79.63
9/19/2018,79.58
9/20/2018,80.65
9/21/2018,80.29
9/24/2018,80.6
9/25/2018,80.53
9/26/2018,81.57
9/27/2018,82.87
9/28/2018,83.19
10/1/2018,83.28
10/2/2018,83.39
10/3/2018,83.02
10/4/2018,80.36
10/5/2018,79.59
10/8/2018,77.63
10/9/2018,77.64
10/10/2018,73.58
10/11/2018,73.85
10/12/2018,77.92
10/15/2018,75.67
10/16/2018,78.73
10/17/2018,78.3
10/18/2018,71.81
10/19/2018,69.75
10/22/2018,69.78
10/23/2018,68.98
10/24/2018,67.25
10/25/2018,70.32
10/26/2018,68.84
10/29/2018,65.22
10/30/2018,67.48
10/31/2018,69.05
11/1/2018,69.32
11/2/2018,68.99
11/5/2018,64.34
11/6/2018,64.25
11/7/2018,65.09
11/8/2018,62.79
11/9/2018,55.01
11/12/2018,53.89
11/13/2018,52.55
11/14/2018,51.6
11/15/2018,53.56
11/16/2018,50.94
11/19/2018,49.14
11/20/2018,49.26
11/21/2018,50.85
11/23/2018,50.05
11/26/2018,50.91
11/27/2018,50.75
11/28/2018,51.02
11/29/2018,52.56
11/30/2018,49.88
12/3/2018,46.6
12/4/2018,46.52
12/6/2018,48.15
12/7/2018,47.23
12/10/2018,47.88
12/11/2018,48.2
12/12/2018,48.45
12/13/2018,48.51
12/14/2018,47.75
12/17/2018,47.08
12/18/2018,47.32
12/19/2018,46.33
12/20/2018,47.05
12/21/2018,45.85
12/24/2018,43.99
12/26/2018,46.42
12/27/2018,47.04
12/28/2018,46.8
12/31/2018,46.57
1/2/2019,47.03
1/3/2019,45.36
1/4/2019,47.17
1/7/2019,48.5
1/8/2019,49.97
1/9/2019,50.83
1/10/2019,51.35
1/11/2019,46.54
1/14/2019,47.29
1/15/2019,46.84
1/16/2019,47.13
1/17/2019,47.38
1/18/2019,48.65
1/22/2019,47.06
1/23/2019,46.02
1/24/2019,47.27
1/25/2019,47.8
1/28/2019,46.74
1/29/2019,45.73
1/30/2019,46.31
1/31/2019,47.24
2/1/2019,46.01
2/4/2019,46.78
2/5/2019,47.84
2/6/2019,43
2/7/2019,43.96
2/8/2019,43.41
2/11/2019,40.11
2/12/2019,41.67
2/13/2019,44.57
2/14/2019,45.43
2/15/2019,44.6
2/19/2019,44.48
2/20/2019,42.78
2/21/2019,41.9
2/22/2019,41.5
2/25/2019,41.96
2/26/2019,42.08
2/27/2019,41.79
2/28/2019,42.14
3/1/2019,42.84
3/4/2019,41.79
3/5/2019,41.88
3/6/2019,42.56
3/7/2019,41.42
3/8/2019,42.03
3/11/2019,42.92
3/12/2019,42.63
3/13/2019,43.7
3/14/2019,43.32
3/15/2019,44.63
3/18/2019,44.97
3/19/2019,46.42
3/20/2019,46.16
3/21/2019,48.6
3/22/2019,46.87
3/25/2019,46.98
3/26/2019,46.43
3/27/2019,45.52
3/28/2019,45.62
3/29/2019,45.53
4/1/2019,47.12
4/2/2019,47.46
4/3/2019,47.65
4/4/2019,46.96
4/5/2019,47.29
4/8/2019,47.57
4/9/2019,47.01
4/10/2019,47.86
4/11/2019,47.17
4/12/2019,47.28
4/15/2019,45.75
4/16/2019,45.06
4/17/2019,44.98
4/18/2019,45.31
4/22/2019,45.34
4/23/2019,46.51
4/24/2019,46.75
4/25/2019,47.41
4/26/2019,48.15
4/29/2019,48.4
4/30/2019,48.21
5/1/2019,48.56
5/2/2019,49.55
5/3/2019,47.15
5/6/2019,48.16
5/7/2019,46.68
5/8/2019,46.82
5/9/2019,46.64
5/10/2019,46.02
5/13/2019,43.41
5/14/2019,44.7
5/15/2019,46.28
5/16/2019,47.29
5/17/2019,46.39
5/20/2019,43.61
5/21/2019,43.45
5/22/2019,42.91
5/23/2019,42.19
5/24/2019,42.29
5/28/2019,43.5
5/29/2019,43.99
5/30/2019,43.56
5/31/2019,43.37
6/3/2019,42.38
6/4/2019,43.61
6/5/2019,44.52
6/6/2019,44.08
6/7/2019,45.38
6/10/2019,46.01
6/11/2019,46.7
6/12/2019,45.09
6/13/2019,46.05
6/14/2019,45.62
6/17/2019,45.07
6/18/2019,45.77
6/19/2019,45.33
6/20/2019,45.67
6/21/2019,45.91
6/24/2019,47.15
6/25/2019,46.2
6/26/2019,46.73
6/27/2019,47.28
6/28/2019,47.2
7/1/2019,47.5
7/2/2019,47.98
7/3/2019,48.66
7/5/2019,48.15
7/8/2019,46.47
7/9/2019,46.37
7/10/2019,46.84
7/11/2019,47.34
7/12/2019,47.2
7/15/2019,47.66
7/16/2019,46.99
7/17/2019,46.68
7/18/2019,45.72
7/19/2019,45.14
7/22/2019,45.57
7/23/2019,45.92
7/24/2019,46.86
7/25/2019,47.19
7/26/2019,47.99
7/29/2019,48.45
7/30/2019,48.29
7/31/2019,48.74
8/1/2019,50.19
8/2/2019,49.02
8/5/2019,46.1
8/6/2019,46.59
8/7/2019,48.1
8/8/2019,49.33
8/9/2019,48.06
8/12/2019,47.08
8/13/2019,48.13
8/14/2019,45.26
8/15/2019,45.51
8/16/2019,46.66
8/19/2019,47.92
8/20/2019,48.8
8/21/2019,49.04
8/22/2019,49.08
8/23/2019,47.33
8/26/2019,48.69
8/27/2019,51.09
8/28/2019,50.21
8/29/2019,50.96
8/30/2019,50.6
9/3/2019,51.06
9/4/2019,53.5
9/5/2019,54.58
9/6/2019,54.58
9/9/2019,55.19
9/10/2019,56.03
9/11/2019,54.91
9/12/2019,55.45
9/13/2019,55.95
9/16/2019,55.78
9/17/2019,55.35
9/18/2019,55.12
9/19/2019,55.01
9/20/2019,54.76
9/23/2019,54.18
9/24/2019,53.96
9/25/2019,54.94
9/26/2019,54.22
9/27/2019,52.33
9/30/2019,52.92
10/1/2019,52.9
10/2/2019,52.25
10/3/2019,54.07
10/4/2019,55.44
10/7/2019,55.41
10/8/2019,54.13
10/9/2019,53.43
10/10/2019,53.69
10/11/2019,54.82
10/14/2019,55.01
10/15/2019,55.56
10/16/2019,55.59
10/17/2019,55.59
10/18/2019,54.54
10/21/2019,55.51
10/22/2019,54.52
10/23/2019,54.8
10/24/2019,55.44
10/25/2019,55.26
10/28/2019,54.56
10/29/2019,54
10/30/2019,55.87
10/31/2019,56.03
11/1/2019,55.82
11/4/2019,55.71
11/5/2019,55.54
11/6/2019,56.36
11/7/2019,54.55
11/8/2019,54.3
11/11/2019,52.52
11/12/2019,51.95
11/13/2019,52.33
11/14/2019,52.7
11/15/2019,53.44
11/18/2019,52.73
11/19/2019,53.28
11/20/2019,54.09
11/21/2019,53.69
11/22/2019,53.04
11/25/2019,53.73
11/26/2019,54.17
11/27/2019,54.48
11/29/2019,54.83
12/2/2019,54.23
12/3/2019,54.59
12/4/2019,53.88
12/5/2019,54.99
12/6/2019,55.21
12/9/2019,54.39
12/10/2019,55.94
12/11/2019,56.48
12/12/2019,58.56
12/13/2019,58.65
12/16/2019,58.61
12/17/2019,58.26
12/18/2019,59.02
12/19/2019,59.13
12/20/2019,59.22
12/23/2019,58.89
12/24/2019,58.81
12/26/2019,58.89
12/27/2019,59.19
12/30/2019,58.88
